topology_id,node_count,generation_seed,average_degree,max_bfs_layer,channels,latency_slots,max_timeslot_index,valid,violations,used_channels,scheduled_transmissions,anex_seconds,validate_seconds
topo50_seed0,50,0,4.6,5,1,27,26,True,0,1,49,0.014313,0.003274
topo50_seed0,50,0,4.6,5,2,27,26,True,0,2,49,0.010996,0.003708
topo50_seed0,50,0,4.6,5,3,27,26,True,0,3,49,0.011632,0.003038
topo50_seed0,50,0,4.6,5,4,27,26,True,0,3,49,0.011265,0.004794
topo50_seed0,50,0,4.6,5,5,27,26,True,0,3,49,0.010749,0.004164
topo50_seed0,50,0,4.6,5,6,27,26,True,0,3,49,0.01142,0.003246
topo50_seed0,50,0,4.6,5,7,27,26,True,0,3,49,0.012001,0.003239
topo50_seed1,50,1,4.8,9,1,33,32,True,0,1,49,0.014277,0.002548
topo50_seed1,50,1,4.8,9,2,33,32,True,0,2,49,0.011595,0.003764
topo50_seed1,50,1,4.8,9,3,33,32,True,0,2,49,0.011276,0.004304
topo50_seed1,50,1,4.8,9,4,33,32,True,0,2,49,0.014023,0.00628
topo50_seed1,50,1,4.8,9,5,33,32,True,0,2,49,0.011741,0.004427
topo50_seed1,50,1,4.8,9,6,33,32,True,0,2,49,0.012003,0.002681
topo50_seed1,50,1,4.8,9,7,33,32,True,0,2,49,0.01171,0.002785
topo50_seed2,50,2,5.6,5,1,31,30,True,0,1,49,0.013166,0.002795
topo50_seed2,50,2,5.6,5,2,31,30,True,0,2,49,0.010522,0.003112
topo50_seed2,50,2,5.6,5,3,31,30,True,0,3,49,0.009484,0.00367
topo50_seed2,50,2,5.6,5,4,31,30,True,0,3,49,0.011728,0.002463
topo50_seed2,50,2,5.6,5,5,31,30,True,0,3,49,0.013226,0.002148
topo50_seed2,50,2,5.6,5,6,31,30,True,0,3,49,0.011439,0.001692
topo50_seed2,50,2,5.6,5,7,31,30,True,0,3,49,0.011688,0.005009
topo50_seed3,50,3,4.48,5,1,28,27,True,0,1,49,0.010107,0.002243
topo50_seed3,50,3,4.48,5,2,28,27,True,0,2,49,0.010011,0.00218
topo50_seed3,50,3,4.48,5,3,28,27,True,0,2,49,0.011594,0.002097
