node_count,channels,topologies,latency_mean,latency_sd,latency_ci95,latency_min,latency_max,valid_rate,used_channels_mean,anex_seconds_mean
50,1,30,33.067,5.219,1.868,23,45,1.0,1,0.005679
50,2,30,31.4,5.263,1.883,23,45,1.0,2,0.004991
50,3,30,31.267,5.271,1.886,23,45,1.0,2.4,0.005333
50,4,30,31.267,5.271,1.886,23,45,1.0,2.433,0.005377
50,5,30,31.267,5.271,1.886,23,45,1.0,2.433,0.005589
50,6,30,31.267,5.271,1.886,23,45,1.0,2.433,0.005199
50,7,30,31.267,5.271,1.886,23,45,1.0,2.433,0.005136
100,1,30,37.6,3.529,1.263,32,45,1.0,1,0.006646
100,2,30,30.933,4.234,1.515,24,42,1.0,2,0.006156
100,3,30,31.667,3.527,1.262,24,38,1.0,3,0.006123
100,4,30,31.167,3.851,1.378,24,38,1.0,3.833,0.005977
100,5,30,31.133,3.848,1.377,24,38,1.0,4.067,0.005825
100,6,30,31.133,3.848,1.377,24,38,1.0,4.067,0.006686
100,7,30,31.133,3.848,1.377,24,38,1.0,4.067,0.00673
150,1,30,42.8,2.929,1.048,36,48,1.0,1,0.062787
150,2,30,34.467,3.277,1.173,29,42,1.0,2,0.052214
150,3,30,32.567,2.431,0.87,27,37,1.0,3,0.04832
150,4,30,32.2,2.722,0.974,26,37,1.0,4,0.049787
150,5,30,32.7,3.334,1.193,25,41,1.0,4.7,0.052764
150,6,30,32.233,2.687,0.962,25,37,1.0,5,0.054443
150,7,30,32.4,2.943,1.053,25,39,1.0,5.1,0.050125
200,1,30,50.3,3.271,1.171,43,57,1.0,1,0.030716
200,2,30,36.5,3.34,1.195,28,43,1.0,2,0.025241
200,3,30,34.567,2.861,1.024,28,41,1.0,3,0.025746
200,4,30,34.667,2.998,1.073,29,42,1.0,4,0.033669
200,5,30,34.4,2.836,1.015,29,42,1.0,5,0.028703
200,6,30,33.533,2.837,1.015,28,42,1.0,5.767,0.028675
200,7,30,33.767,2.75,0.984,28,42,1.0,6.067,0.025545
250,1,30,56.867,4.501,1.611,48,68,1.0,1,0.130597
250,2,30,40.267,3.194,1.143,33,47,1.0,2,0.114541
250,3,30,36.867,3.501,1.253,31,44,1.0,3,0.127645
250,4,30,35.1,2.354,0.842,32,41,1.0,4,0.109965
250,5,30,34.933,2.638,0.944,31,41,1.0,5,0.099343
250,6,30,34.9,3.021,1.081,28,42,1.0,6,0.100027
250,7,30,34.333,2.604,0.932,28,41,1.0,6.833,0.084641
300,1,30,64.633,2.93,1.048,59,74,1.0,1,0.154423
300,2,30,42.3,3.019,1.08,35,47,1.0,2,0.122307
300,3,30,37.533,3.431,1.228,32,45,1.0,3,0.118599
300,4,30,35.867,3.277,1.173,31,43,1.0,4,0.165401
300,5,30,35,3.006,1.076,29,42,1.0,5,0.1522
300,6,30,34.733,2.803,1.003,29,42,1.0,6,0.112457
300,7,30,35.033,2.484,0.889,31,42,1.0,7,0.113252
